Location,x,y,x_morphed,y_morphed,x_displaced,y_displaced
L_1,-1,9,-1.103044114,9.927397027,-0.103044114,0.927397027
L_2,1,9,1.103044114,9.927397027,0.103044114,0.927397027
L_3,-5,7,-5.553041056,7.774257479,-0.553041056,0.774257479
L_4,-3,7,-3.398849481,7.93064879,-0.398849481,0.93064879
L_5,-1,7,-1.149186997,8.044308978,-0.149186997,1.044308978
L_6,1,7,1.149186997,8.044308978,0.149186997,1.044308978
L_7,3,7,3.398849481,7.93064879,0.398849481,0.93064879
L_8,5,7,5.553041056,7.774257479,0.553041056,0.774257479
L_9,-7,5,-7.774257479,5.553041056,-0.774257479,0.553041056
L_10,-5,5,-5.745934985,5.745934985,-0.745934985,0.745934985
L_11,-3,5,-3.645977098,6.076628496,-0.645977098,1.076628496
L_12,-1,5,-1.282658833,6.413294165,-0.282658833,1.413294165
L_13,1,5,1.282658833,6.413294165,0.282658833,1.413294165
L_14,3,5,3.645977098,6.076628496,0.645977098,1.076628496
L_15,5,5,5.745934985,5.745934985,0.745934985,0.745934985
L_16,7,5,7.774257479,5.553041056,0.774257479,0.553041056
L_17,-7,3,-7.93064879,3.398849481,-0.93064879,0.398849481
L_18,-5,3,-6.076628496,3.645977098,-1.076628496,0.645977098
L_19,-3,3,-4.204274918,4.204274918,-1.204274918,1.204274918
L_20,-1,3,-1.653002322,4.959006965,-0.653002322,1.959006965
L_21,1,3,1.653002322,4.959006965,0.653002322,1.959006965
L_22,3,3,4.204274918,4.204274918,1.204274918,1.204274918
L_23,5,3,6.076628496,3.645977098,1.076628496,0.645977098
L_24,7,3,7.93064879,3.398849481,0.93064879,0.398849481
L_25,-9,1,-9.927397027,1.103044114,-0.927397027,0.103044114
L_26,-7,1,-8.044308978,1.149186997,-1.044308978,0.149186997
L_27,-5,1,-6.413294165,1.282658833,-1.413294165,0.282658833
L_28,-3,1,-4.959006965,1.653002322,-1.959006965,0.653002322
L_29,-1,1,-2.395123491,2.395123491,-1.395123491,1.395123491
L_30,1,1,2.395123491,2.395123491,1.395123491,1.395123491
L_31,3,1,4.959006965,1.653002322,1.959006965,0.653002322
L_32,5,1,6.413294165,1.282658833,1.413294165,0.282658833
L_33,7,1,8.044308978,1.149186997,1.044308978,0.149186997
L_34,9,1,9.927397027,1.103044114,0.927397027,0.103044114
L_35,-9,-1,-9.927397027,-1.103044114,-0.927397027,-0.103044114
L_36,-7,-1,-8.044308978,-1.149186997,-1.044308978,-0.149186997
L_37,-5,-1,-6.413294165,-1.282658833,-1.413294165,-0.282658833
L_38,-3,-1,-4.959006965,-1.653002322,-1.959006965,-0.653002322
L_39,-1,-1,-2.395123491,-2.395123491,-1.395123491,-1.395123491
L_40,1,-1,2.395123491,-2.395123491,1.395123491,-1.395123491
L_41,3,-1,4.959006965,-1.653002322,1.959006965,-0.653002322
L_42,5,-1,6.413294165,-1.282658833,1.413294165,-0.282658833
L_43,7,-1,8.044308978,-1.149186997,1.044308978,-0.149186997
L_44,9,-1,9.927397027,-1.103044114,0.927397027,-0.103044114
L_45,-7,-3,-7.93064879,-3.398849481,-0.93064879,-0.398849481
L_46,-5,-3,-6.076628496,-3.645977098,-1.076628496,-0.645977098
L_47,-3,-3,-4.204274918,-4.204274918,-1.204274918,-1.204274918
L_48,-1,-3,-1.653002322,-4.959006965,-0.653002322,-1.959006965
L_49,1,-3,1.653002322,-4.959006965,0.653002322,-1.959006965
L_50,3,-3,4.204274918,-4.204274918,1.204274918,-1.204274918
L_51,5,-3,6.076628496,-3.645977098,1.076628496,-0.645977098
L_52,7,-3,7.93064879,-3.398849481,0.93064879,-0.398849481
L_53,-7,-5,-7.774257479,-5.553041056,-0.774257479,-0.553041056
L_54,-5,-5,-5.745934985,-5.745934985,-0.745934985,-0.745934985
L_55,-3,-5,-3.645977098,-6.076628496,-0.645977098,-1.076628496
L_56,-1,-5,-1.282658833,-6.413294165,-0.282658833,-1.413294165
L_57,1,-5,1.282658833,-6.413294165,0.282658833,-1.413294165
L_58,3,-5,3.645977098,-6.076628496,0.645977098,-1.076628496
L_59,5,-5,5.745934985,-5.745934985,0.745934985,-0.745934985
L_60,7,-5,7.774257479,-5.553041056,0.774257479,-0.553041056
L_61,-5,-7,-5.553041056,-7.774257479,-0.553041056,-0.774257479
L_62,-3,-7,-3.398849481,-7.93064879,-0.398849481,-0.93064879
L_63,-1,-7,-1.149186997,-8.044308978,-0.149186997,-1.044308978
L_64,1,-7,1.149186997,-8.044308978,0.149186997,-1.044308978
L_65,3,-7,3.398849481,-7.93064879,0.398849481,-0.93064879
L_66,5,-7,5.553041056,-7.774257479,0.553041056,-0.774257479
L_67,-1,-9,-1.103044114,-9.927397027,-0.103044114,-0.927397027
L_68,1,-9,1.103044114,-9.927397027,0.103044114,-0.927397027
